name,x,y,z,time,workshop
Group 1,33.72,11.58,1.34,2025-08-01 12:59:31.008282,Workshop2
Group 1,33.07,12.17,0.86,2025-08-01 12:59:32.006217,Workshop2
Group 1,32.94,13.87,1.86,2025-08-01 12:59:34.006532,Workshop2
Group 1,33.18,14.03,1.92,2025-08-01 12:59:35.006176,Workshop2
Group 1,34.07,16.53,3.32,2025-08-01 12:59:42.013288,Workshop2
Group 1,34.26,15.98,1.71,2025-08-01 12:59:43.006495,Workshop2
Group 1,34.37,15.48,0.54,2025-08-01 12:59:44.006425,Workshop2
Group 1,34.46,15.19,-0.53,2025-08-01 12:59:45.006623,Workshop2
Group 1,34.61,16.34,-0.55,2025-08-01 12:59:55.007319,Workshop2
Group 1,34.73,15.88,-1.32,2025-08-01 12:59:56.010129,Workshop2
Group 1,34.77,15.42,-1.66,2025-08-01 12:59:57.006734,Workshop2
Group 1,34.9,14.98,-2.1,2025-08-01 12:59:58.006955,Workshop2
Group 1,34.56,13.52,-2.22,2025-08-01 13:00:03.006523,Workshop2
Group 1,34.57,13.4,-2.5,2025-08-01 13:00:04.007475,Workshop2
Group 1,34.58,13.27,-2.83,2025-08-01 13:00:05.010134,Workshop2
Group 1,34.6,13.52,-1.12,2025-08-01 13:00:07.006203,Workshop2
Group 1,34.25,13.66,0.68,2025-08-01 13:00:20.006139,Workshop2
Group 1,34.5,13.72,-0.63,2025-08-01 13:00:21.005972,Workshop2
Group 1,34.54,13.76,-1.35,2025-08-01 13:00:22.006069,Workshop2
Group 1,34.58,13.68,-1.76,2025-08-01 13:00:23.00586,Workshop2
Group 1,34.53,13.62,-0.54,2025-08-01 13:00:25.006705,Workshop2
Group 1,34.5,13.66,-3.19,2025-08-01 13:00:30.006699,Workshop2
Group 1,34.6,13.59,-1.57,2025-08-01 13:00:31.006402,Workshop2
Group 1,34.76,13.54,-1.96,2025-08-01 13:00:32.006588,Workshop2
Group 1,34.76,13.49,-2.33,2025-08-01 13:00:33.006403,Workshop2
Group 1,34.88,13.45,-2.52,2025-08-01 13:00:34.006219,Workshop2
Group 1,34.55,13.12,-0.4,2025-08-01 13:00:35.006218,Workshop2
Group 1,34.84,13.2,0.63,2025-08-01 13:00:36.006164,Workshop2
Group 1,34.85,13.14,-0.37,2025-08-01 13:00:37.006158,Workshop2
Group 1,34.88,13.74,-1.82,2025-08-01 13:00:38.006022,Workshop2
Group 1,35.14,14.09,0.06,2025-08-01 13:00:40.006962,Workshop2
Group 1,35.37,13.94,-0.94,2025-08-01 13:00:41.006138,Workshop2
Group 1,35.35,13.79,-1.76,2025-08-01 13:00:42.005991,Workshop2
Group 1,35.3,14.14,0.18,2025-08-01 13:00:44.005776,Workshop2
Group 1,35.3,14.22,-1.22,2025-08-01 13:00:45.006119,Workshop2
Group 1,35.28,13.96,-1.89,2025-08-01 13:00:46.005861,Workshop2
Group 1,35.27,13.82,-2.45,2025-08-01 13:00:47.006059,Workshop2
Group 1,35.24,13.68,-2.84,2025-08-01 13:00:48.006212,Workshop2
Group 1,35.12,13.43,-3.01,2025-08-01 13:00:49.006131,Workshop2
Group 1,34.93,13.9,-3.83,2025-08-01 13:00:50.006876,Workshop2
Group 1,35.12,14.34,-1.35,2025-08-01 13:00:52.00625,Workshop2
Group 1,35.29,14.75,0.57,2025-08-01 13:00:54.005966,Workshop2
Group 1,35.13,14.78,-1.08,2025-08-01 13:00:55.009752,Workshop2
Group 1,35.13,14.48,0.39,2025-08-01 13:00:58.006715,Workshop2
Group 1,35.11,14.13,-0.68,2025-08-01 13:00:59.007208,Workshop2
Group 1,34.59,13.94,-1.68,2025-08-01 13:01:00.006294,Workshop2
Group 1,34.9,13.96,-2.45,2025-08-01 13:01:01.008489,Workshop2
Group 1,35.14,14.02,-3.07,2025-08-01 13:01:02.006154,Workshop2
Group 1,35.01,13.72,-1.37,2025-08-01 13:01:05.00612,Workshop2
Group 1,35.3,13.91,-2.45,2025-08-01 13:01:06.006662,Workshop2
Group 1,35.29,13.7,-2.88,2025-08-01 13:01:07.006397,Workshop2
Group 1,35.29,13.73,-3.48,2025-08-01 13:01:08.006711,Workshop2
Group 1,35.47,13.58,-1.74,2025-08-01 13:01:10.01069,Workshop2
Group 1,35.7,13.41,-0.39,2025-08-01 13:01:12.007158,Workshop2
Group 1,35.81,13.38,-1.36,2025-08-01 13:01:13.007642,Workshop2
Group 1,35.85,13.34,-2.16,2025-08-01 13:01:14.009736,Workshop2
Group 1,35.72,13.5,-0.42,2025-08-01 13:01:16.006196,Workshop2
Group 1,35.46,13.47,-1.46,2025-08-01 13:01:17.006662,Workshop2
Group 1,34.7,12.96,-1.17,2025-08-01 13:01:18.006957,Workshop2
Group 1,34.7,13.09,-2.02,2025-08-01 13:01:19.006185,Workshop2
Group 1,34.85,13.09,-2.39,2025-08-01 13:01:20.006126,Workshop2
Group 1,34.71,13.66,-3.35,2025-08-01 13:01:21.006249,Workshop2
Group 1,34.58,13.97,-3.98,2025-08-01 13:01:23.007321,Workshop2
Group 1,34.37,14.13,-4.39,2025-08-01 13:01:25.006099,Workshop2
Group 1,34.2,13.65,-3.84,2025-08-01 13:01:26.008258,Workshop2
Group 1,33.64,14.02,-1.42,2025-08-01 13:01:28.006409,Workshop2
Group 1,33.66,14.24,-2.53,2025-08-01 13:01:29.006155,Workshop2
Group 1,33.9,14.17,-3.12,2025-08-01 13:01:30.006255,Workshop2
Group 1,34.05,14.27,-0.97,2025-08-01 13:01:32.015699,Workshop2
