name,x,y,time
Group 1,40.73,14.78,2025-09-19 12:02:11.081314
Group 1,40.91,13.98,2025-09-19 12:02:13.081284
Group 1,41.08,13.38,2025-09-19 12:02:15.081333
Group 1,41.11,12.95,2025-09-19 12:02:23.081133
Group 1,41.51,12.49,2025-09-19 12:02:24.081158
Group 1,41.73,10.75,2025-09-19 12:04:58.080668
Group 1,42.03,9.7,2025-09-19 12:04:59.081144
Group 1,42.02,9.47,2025-09-19 12:05:01.081239
Group 1,41.77,11.05,2025-09-19 12:05:06.08122
Group 1,41.36,12.03,2025-09-19 12:05:07.081206
Group 1,41.29,12.71,2025-09-19 12:05:09.081272
Group 1,41.14,13.21,2025-09-19 12:05:12.08126
Group 1,41.1,13.61,2025-09-19 12:05:14.081175
Group 1,41.06,13.88,2025-09-19 12:05:16.08124
Group 1,40.93,14.16,2025-09-19 12:05:17.081272
Group 1,40.81,14.51,2025-09-19 12:05:18.081474
Group 1,40.86,14.71,2025-09-19 12:05:20.081448
Group 1,40.71,14.94,2025-09-19 12:05:22.081445
Group 1,40.66,14.99,2025-09-19 12:05:25.081358
Group 1,40.77,15.08,2025-09-19 12:05:26.081252
Group 1,40.87,15.16,2025-09-19 12:05:27.081325
Group 1,40.96,15.0,2025-09-19 12:05:28.081488
Group 1,41.0,15.06,2025-09-19 12:05:29.079551
Group 1,40.84,14.98,2025-09-19 12:05:31.081245
Group 1,40.89,14.8,2025-09-19 12:05:32.08227
Group 1,40.9,14.84,2025-09-19 12:05:35.08125
Group 1,40.91,14.82,2025-09-19 12:05:44.083596
Group 1,41.48,13.89,2025-09-19 12:05:50.079511
Group 1,41.83,13.15,2025-09-19 12:05:56.081357
Group 1,41.93,12.68,2025-09-19 12:06:00.079538
Group 1,41.95,12.34,2025-09-19 12:06:01.07948
Group 1,41.81,12.93,2025-09-19 12:06:03.081259
Group 1,41.65,13.36,2025-09-19 12:06:04.084129
Group 1,41.43,13.69,2025-09-19 12:06:05.081907
Group 1,41.07,13.87,2025-09-19 12:06:06.084276
Group 1,40.81,13.79,2025-09-19 12:06:10.081311
Group 1,40.62,13.7,2025-09-19 12:06:12.081326
Group 1,40.45,13.67,2025-09-19 12:06:13.08123
Group 1,40.41,13.75,2025-09-19 12:55:59.379101
Group 1,40.28,13.86,2025-09-19 12:56:02.378033
Group 1,40.34,13.7,2025-09-19 12:56:03.379554
Group 1,41.15,14.24,2025-09-19 12:56:07.381862
Group 1,41.58,14.7,2025-09-19 12:56:09.379055
Group 1,41.73,14.32,2025-09-19 12:56:10.381981
Group 1,42.03,13.45,2025-09-19 12:56:11.382291
Group 1,37.44,10.9,2025-09-19 13:14:00.381682
Group 1,34.2,10.18,2025-09-19 13:14:08.379155
Group 1,33.71,10.59,2025-09-19 13:14:09.378904
Group 1,34.45,13.46,2025-09-19 13:14:24.825308
Group 1,34.5,13.53,2025-09-19 13:14:25.377615
Group 1,34.82,13.3,2025-09-19 13:14:26.37941
Group 1,34.8,13.36,2025-09-19 13:14:27.37764
Group 1,34.92,13.41,2025-09-19 13:14:28.377603
Group 1,34.88,13.4,2025-09-19 13:14:29.377518
Group 1,34.92,13.41,2025-09-19 13:14:30.37757
Group 1,35.03,13.39,2025-09-19 13:14:31.378943
Group 1,34.91,13.29,2025-09-19 13:14:32.377553
Group 1,34.96,13.23,2025-09-19 13:14:33.377692
Group 1,34.94,13.24,2025-09-19 13:14:34.377584
Group 1,35.06,13.28,2025-09-19 13:14:35.377644
Group 1,34.7,13.38,2025-09-19 13:14:36.377557
Group 1,34.58,13.33,2025-09-19 13:14:37.37763
Group 1,34.56,13.49,2025-09-19 13:14:38.377678
Group 1,34.51,13.46,2025-09-19 13:14:39.3776
Group 1,34.33,13.46,2025-09-19 13:14:40.377548
Group 1,33.7,13.4,2025-09-19 13:14:41.377548
Group 1,33.86,13.37,2025-09-19 13:14:42.377576
Group 1,33.89,13.4,2025-09-19 13:14:44.377653
Group 1,33.95,13.37,2025-09-19 13:14:45.377578
Group 1,34.16,13.35,2025-09-19 13:14:46.377757
Group 1,34.1,13.4,2025-09-19 13:14:47.377636
Group 1,34.3,13.34,2025-09-19 13:14:48.379112
Group 1,33.84,13.28,2025-09-19 13:14:49.379041
Group 1,34.07,13.23,2025-09-19 13:14:50.378881
Group 1,34.3,13.18,2025-09-19 13:14:51.378837
Group 1,34.36,13.11,2025-09-19 13:14:52.378844
Group 1,34.47,13.22,2025-09-19 13:14:53.378894
Group 1,34.19,13.1,2025-09-19 13:14:54.377593
Group 1,34.12,13.2,2025-09-19 13:14:55.377519
Group 1,34.17,13.19,2025-09-19 13:14:56.37754
Group 1,34.29,13.26,2025-09-19 13:14:57.377613
Group 1,34.12,13.31,2025-09-19 13:14:58.377624
Group 1,34.13,13.37,2025-09-19 13:14:59.377537
Group 1,34.29,13.3,2025-09-19 13:15:00.37751
Group 1,34.46,13.32,2025-09-19 13:15:01.379681
Group 1,34.48,13.37,2025-09-19 13:15:02.378275
Group 1,34.58,13.19,2025-09-19 13:15:03.377499
Group 1,34.76,13.11,2025-09-19 13:15:04.377606
Group 1,34.75,13.52,2025-09-19 13:15:05.378499
Group 1,34.87,13.42,2025-09-19 13:15:06.37924
Group 1,34.83,13.04,2025-09-19 13:15:07.377637
Group 1,34.95,12.95,2025-09-19 13:15:08.378912
Group 1,35.21,12.83,2025-09-19 13:15:09.379168
Group 1,35.29,12.81,2025-09-19 13:15:10.379834
Group 1,35.05,12.86,2025-09-19 13:15:11.377706
Group 1,35.25,12.88,2025-09-19 13:15:12.379272
Group 1,35.32,12.96,2025-09-19 13:15:13.379532
Group 1,35.82,13.18,2025-09-19 13:15:14.379307
Group 1,35.87,13.23,2025-09-19 13:15:15.380121
Group 1,35.65,13.24,2025-09-19 13:15:16.377594
Group 1,35.52,13.04,2025-09-19 13:15:17.379063
