name,x,y,z,time
Group 2,40.64,14.13,-3.78,2025-09-19 12:01:32.483416
Group 2,40.65,14.31,-4.1,2025-09-19 12:01:34.483452
Group 2,40.64,14.37,-4.27,2025-09-19 12:01:35.483381
Group 2,40.71,14.33,-4.36,2025-09-19 12:01:36.48343
Group 2,40.74,14.44,-1.96,2025-09-19 12:01:39.483473
Group 2,40.9,14.47,-0.21,2025-09-19 12:01:42.483469
Group 2,40.89,14.24,0.82,2025-09-19 12:01:43.483353
Group 2,40.91,14.22,1.77,2025-09-19 12:01:44.483436
Group 2,40.86,14.1,0.3,2025-09-19 12:01:45.483449
Group 2,40.83,14.17,1.42,2025-09-19 12:01:46.483373
Group 2,40.71,14.4,2.43,2025-09-19 12:01:48.483496
Group 2,40.62,14.39,3.0,2025-09-19 12:01:49.483345
Group 2,40.58,14.25,3.27,2025-09-19 12:01:50.483358
Group 2,40.58,14.15,3.46,2025-09-19 12:01:51.483373
Group 2,40.55,14.07,3.64,2025-09-19 12:01:53.48072
Group 2,40.52,14.03,3.8,2025-09-19 12:01:54.48355
Group 2,40.53,14.09,4.01,2025-09-19 12:01:55.483502
Group 2,40.51,14.02,4.04,2025-09-19 12:01:56.483559
Group 2,40.68,13.87,3.9,2025-09-19 12:01:57.483581
Group 2,40.67,14.14,4.24,2025-09-19 12:01:58.481404
Group 2,40.85,14.26,1.97,2025-09-19 12:02:00.481924
Group 2,40.7,14.45,2.77,2025-09-19 12:02:01.981328
Group 2,40.5,14.45,3.51,2025-09-19 12:02:02.981289
Group 2,40.53,14.36,3.72,2025-09-19 12:02:03.48121
Group 2,40.6,14.31,4.0,2025-09-19 12:02:03.981319
Group 2,40.56,14.28,4.18,2025-09-19 12:02:04.481157
Group 2,40.44,14.37,4.4,2025-09-19 12:02:04.981255
Group 2,40.67,15.0,4.78,2025-09-19 12:02:05.481495
Group 2,41.15,15.48,5.04,2025-09-19 12:02:05.981264
Group 2,41.31,15.17,2.63,2025-09-19 12:02:06.481286
Group 2,41.29,15.02,0.65,2025-09-19 12:02:07.481232
Group 2,41.24,14.45,-0.7,2025-09-19 12:02:08.481349
Group 2,41.3,13.78,-1.39,2025-09-19 12:02:09.481239
Group 2,41.46,13.19,-1.76,2025-09-19 12:02:10.48124
Group 2,41.41,12.81,-2.26,2025-09-19 12:02:10.981722
Group 2,41.38,12.5,-2.51,2025-09-19 12:02:11.481151
Group 2,41.34,12.31,-2.9,2025-09-19 12:02:11.981198
Group 2,41.26,12.23,-3.26,2025-09-19 12:02:12.48147
Group 2,41.2,12.15,-3.47,2025-09-19 12:02:12.981155
Group 2,41.17,12.07,-3.58,2025-09-19 12:02:13.481445
Group 2,41.13,12.1,-3.81,2025-09-19 12:02:13.981183
Group 2,41.08,12.14,-4.02,2025-09-19 12:02:14.481345
Group 2,41.14,12.07,-1.98,2025-09-19 12:02:14.981181
Group 2,41.32,11.95,-2.27,2025-09-19 12:02:15.481323
Group 2,41.43,11.88,-2.54,2025-09-19 12:02:15.981279
Group 2,41.45,11.86,-2.86,2025-09-19 12:02:16.481421
Group 2,41.46,11.85,-3.11,2025-09-19 12:02:16.985001
Group 2,41.5,11.82,-3.23,2025-09-19 12:02:17.481567
Group 2,41.54,11.78,-3.3,2025-09-19 12:02:18.481359
Group 2,41.58,11.78,-3.37,2025-09-19 12:02:19.481269
Group 2,41.63,11.72,-3.37,2025-09-19 12:02:20.481288
Group 2,41.59,11.73,-3.55,2025-09-19 12:02:21.481223
Group 2,41.58,11.65,-3.46,2025-09-19 12:02:22.481223
Group 2,41.67,11.61,-3.41,2025-09-19 12:02:22.981464
Group 2,41.61,11.6,-3.5,2025-09-19 12:02:23.481201
Group 2,41.66,11.52,-3.35,2025-09-19 12:02:23.981221
Group 2,41.95,11.22,-2.69,2025-09-19 12:02:24.981471
Group 2,42.37,10.82,-2.24,2025-09-19 12:02:25.481149
Group 2,42.64,10.38,-1.81,2025-09-19 12:02:25.981253
Group 2,42.67,9.91,-1.58,2025-09-19 12:02:26.481128
Group 2,42.46,9.59,-2.09,2025-09-19 12:02:27.481234
Group 2,42.33,8.96,-2.53,2025-09-19 12:02:28.481155
Group 2,41.97,8.05,-3.25,2025-09-19 12:02:29.481155
Group 2,41.88,7.16,-0.98,2025-09-19 12:02:29.981275
Group 2,42.04,6.56,-0.4,2025-09-19 12:02:30.481292
Group 2,42.13,6.14,-0.86,2025-09-19 12:02:34.981116
Group 2,42.16,5.86,0.07,2025-09-19 12:02:35.98111
Group 2,41.91,5.75,-1.4,2025-09-19 12:02:37.981135
Group 2,42.25,5.39,-0.8,2025-09-19 12:02:38.981141
Group 2,42.56,5.51,-1.95,2025-09-19 12:02:47.981178
Group 2,42.78,5.34,-1.56,2025-09-19 12:02:49.981285
Group 2,42.94,5.1,-0.96,2025-09-19 12:02:50.981127
Group 2,43.05,4.95,-0.44,2025-09-19 12:02:51.983608
Group 2,42.96,4.93,-0.77,2025-09-19 12:02:53.983467
Group 2,42.96,4.95,-1.17,2025-09-19 12:02:56.983457
Group 2,42.71,5.04,0.23,2025-09-19 12:02:57.983507
Group 2,42.75,4.97,-0.04,2025-09-19 12:02:59.983458
Group 2,42.88,4.84,0.13,2025-09-19 12:03:00.983453
Group 2,42.96,4.74,0.36,2025-09-19 12:03:01.983601
Group 2,42.76,4.83,1.12,2025-09-19 12:03:02.98336
Group 2,43.05,4.88,0.72,2025-09-19 12:03:08.98131
Group 2,42.89,4.92,-0.09,2025-09-19 12:03:10.981349
