group,from_station,to_station,transition_time_seconds,transition_time_minutes
W3 G1,3.0,2.0,1095.446253,18.257437550000002
W3 G1,2.0,1.0,10.000227,0.16667045
W3 G1,1.0,3.0,493.999167,8.23331945
W3 G1,3.0,4.0,1393.99437,23.2332395
W3 G2,4.0,3.0,10.997548,0.18329246666666668
W3 G2,3.0,1.0,1098.50824,18.308470666666665
W3 G2,1.0,3.0,66.001232,1.1000205333333333
W3 G2,3.0,4.0,69.999579,1.16665965
W3 G2,4.0,4.0,1319.40178,21.990029666666665
W3 G2,4.0,2.0,1299.099369,21.65165615
W3 G3,4.0,3.0,18.98858,0.3164763333333333
W3 G3,3.0,4.0,57.867466,0.9644577666666667
W3 G3,4.0,2.0,2870.701312,47.84502186666667
W3 G3,2.0,1.0,22.99995,0.38333249999999996
W3 G3,1.0,2.0,334.000489,5.566674816666667
W3 G3,2.0,4.0,9.999791,0.16666318333333333
W3 G4,4.0,4.0,4184.997943,69.74996571666667
W3 G4,4.0,2.0,2552.199382,42.53665636666666
W3 G4,2.0,1.0,223.006144,3.7167690666666666
W3 G4,1.0,3.0,917.999141,15.299985683333334
W3 G4,3.0,4.0,75.300549,1.25500915
W3 G4,4.0,2.0,1081.398641,18.02331068333333
W3 G5,4.0,2.0,1343.999441,22.399990683333332
W3 G5,2.0,1.0,1263.652431,21.06087385
W3 G5,1.0,3.0,9.001195,0.15001991666666664
W3 G5,3.0,4.0,9.998266,0.16663776666666666
W3 G6,4.0,2.0,5460.098122,91.00163536666668
W3 G6,2.0,3.0,2773.993168,46.23321946666667
W3 G6,3.0,4.0,44.00023,0.7333371666666667
